"RID","Easy_Reservation","Preferred_Seats","Flight_Options","Ticket_Prices","Seat_Comfort","Seat_Roominess","Overhead_Storage","Clean_Aircraft","Courtesy","Friendliness","Helpfulness","Service","Satisfaction","Recommend","Language","Smoker","Employment","Education","Marital","Sex","Age","Income","FlyAgain","FlyAgain2","Easy_Reservation.1","Preferred_Seats.1","Flight_Options.1","Ticket_Prices.1","Seat_Comfort.1","Seat_Roominess.1","Overhead_Storage.1","Clean_Aircraft.1","Courtesy.1","Friendliness.1","Helpfulness.1","Service.1"
343,7,7,7,4,8,8,6,7,5,9,8,8,9,7,NA,"No","Employed part-time",NA,"Living common law","Female","55 to 64","$30000 to $39999",1,"Yes","7","7","7","4","8","8","6","7","5","Strongly Agree","8","8"
344,9,8,8,8,4,7,2,6,9,7,7,9,9,8,"English","No","Not employed","College diploma","Married","Female","45 to 54","$100000 to $149999",0,"No","Strongly Agree","8","8","8","4","7","2","6","Strongly Agree","7","7","Strongly Agree"
345,7,9,8,8,9,9,9,9,9,9,9,9,9,5,"English","No","Employed part-time","High school diploma or certificate","Separated, not living with a life partner","Male","24 or younger","$40000 to $49999",1,"Yes","7","Strongly Agree","8","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
346,8,8,7,7,8,9,9,9,9,9,9,9,9,9,"French","No","Not employed","High school diploma or certificate","Married","Male","24 or younger","$30000 to $39999",0,"No","8","8","7","7","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
347,7,8,8,8,8,4,5,7,9,9,9,9,9,6,"English","No","Fully employed","trades certificate","Living common law","Female","55 to 64","$20000 to $29999",1,"Yes","7","8","8","8","8","4","5","7","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
348,8,5,7,5,9,8,9,9,9,9,8,7,9,6,NA,"Yes","Employed part-time","Bachelor's degree","Married","Female","35 to 44","$40000 to $49999",0,"No","8","5","7","5","Strongly Agree","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","8","7"
349,2,7,5,5,9,8,8,9,9,9,9,9,9,9,"Italian","No","Employed part-time","Master's degree","Living common law","Female","35 to 44","$20000 to $29999",1,"Yes","2","7","5","5","Strongly Agree","8","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
350,9,6,7,6,9,8,9,9,8,6,5,6,7,8,"English","No","Fully employed","College diploma","Married","Female","45 to 54","$50000 to $59999",0,"No","Strongly Agree","6","7","6","Strongly Agree","8","Strongly Agree","Strongly Agree","8","6","5","6"
351,9,7,7,6,9,9,5,9,8,9,8,9,9,6,"English","Yes","Employed part-time","High school diploma or certificate","Single, never married, not living with a life partner","Male","45 to 54","$60000 to $69999",1,"Yes","Strongly Agree","7","7","6","Strongly Agree","Strongly Agree","5","Strongly Agree","8","Strongly Agree","8","Strongly Agree"
352,9,7,9,8,9,7,8,7,9,9,8,9,6,7,"English","No","Not employed","College diploma","Married","Male","35 to 44","$40000 to $49999",1,"Yes","Strongly Agree","7","Strongly Agree","8","Strongly Agree","7","8","7","Strongly Agree","Strongly Agree","8","Strongly Agree"
353,8,8,8,4,8,9,8,8,9,8,9,9,7,6,"English","Yes","Fully employed","trades certificate","Single, never married, not living with a life partner",NA,NA,"$30000 to $39999",0,"No","8","8","8","4","8","Strongly Agree","8","8","Strongly Agree","8","Strongly Agree","Strongly Agree"
354,9,7,9,8,9,9,9,9,9,9,9,9,9,8,"English","No","Fully employed","High school diploma or certificate","Single, never married, not living with a life partner","Female","85 to 94","$30000 to $39999",1,"Yes","Strongly Agree","7","Strongly Agree","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
355,4,9,7,8,9,9,7,9,7,9,9,9,9,4,"Spanish","Yes","Fully employed","High school diploma or certificate",NA,"Male","85 to 94","$70000 to $79999",0,"No","4","Strongly Agree","7","8","Strongly Agree","Strongly Agree","7","Strongly Agree","7","Strongly Agree","Strongly Agree","Strongly Agree"
356,9,6,8,8,8,7,9,9,9,8,9,9,8,7,"Italian","No","Employed part-time","High school diploma or certificate",NA,"Female","24 or younger","$50000 to $59999",0,"No","Strongly Agree","6","8","8","8","7","Strongly Agree","Strongly Agree","Strongly Agree","8","Strongly Agree","Strongly Agree"
357,9,9,7,7,9,9,9,9,9,9,9,9,9,9,"English","No","Fully employed","trades certificate","Living common law","Female","55 to 64","$20000 to $29999",0,"No","Strongly Agree","Strongly Agree","7","7","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
358,9,7,8,5,8,8,6,7,9,8,6,7,5,9,"English","No",NA,"College diploma","Married","Female","65 to 74","$50000 to $59999",0,"No","Strongly Agree","7","8","5","8","8","6","7","Strongly Agree","8","6","7"
359,8,9,7,9,7,5,7,5,9,8,8,9,9,8,NA,"No","Not employed","College diploma","Married","Male","24 or younger","Less than $20,000",1,"Yes","8","Strongly Agree","7","Strongly Agree","7","5","7","5","Strongly Agree","8","8","Strongly Agree"
360,9,9,9,9,9,7,6,6,9,9,9,9,9,8,"French","No","Fully employed","Bachelor's degree","Living common law","Male","55 to 64","$200,000 or more",1,"Yes","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","7","6","6","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
361,9,4,6,7,9,8,9,9,9,9,9,9,9,8,"Italian","No","Not employed","No certificate, diploma or degree","Married","Male","35 to 44","$50000 to $59999",1,"Yes","Strongly Agree","4","6","7","Strongly Agree","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
362,9,9,9,7,9,9,9,9,9,9,9,9,9,9,"French","Yes","Not employed","High school diploma or certificate","Divorced, not living with a life partner","Male","24 or younger",NA,1,"Yes","Strongly Agree","Strongly Agree","Strongly Agree","7","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
363,9,9,8,7,9,8,9,6,8,9,7,9,9,7,"English",NA,"Employed part-time","High school diploma or certificate","Living common law",NA,NA,"$40000 to $49999",1,"Yes","Strongly Agree","Strongly Agree","8","7","Strongly Agree","8","Strongly Agree","6","8","Strongly Agree","7","Strongly Agree"
364,7,8,7,7,9,9,7,8,9,8,9,8,9,7,"English","Yes","Employed part-time","No certificate, diploma or degree","Married","Male","45 to 54","$50000 to $59999",0,"No","7","8","7","7","Strongly Agree","Strongly Agree","7","8","Strongly Agree","8","Strongly Agree","8"
365,9,9,9,9,9,9,9,8,9,9,9,9,9,9,"English","No","Employed part-time","College diploma","Separated, not living with a life partner","Female","45 to 54","$60000 to $69999",1,"Yes","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
366,9,9,9,6,9,9,7,9,9,9,9,9,9,8,"English","No","Not employed","No certificate, diploma or degree","Living common law","Male","65 to 74","$40000 to $49999",1,"Yes","Strongly Agree","Strongly Agree","Strongly Agree","6","Strongly Agree","Strongly Agree","7","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
367,9,6,9,7,6,9,7,8,8,9,8,9,5,7,"Spanish","No","Employed part-time","College diploma","Living common law","Female","24 or younger","$30000 to $39999",1,"Yes","Strongly Agree","6","Strongly Agree","7","6","Strongly Agree","7","8","8","Strongly Agree","8","Strongly Agree"
368,9,7,6,8,6,8,7,7,6,8,8,8,8,8,"Spanish","No","Employed part-time",NA,"Married","Female","35 to 44","$50000 to $59999",0,"No","Strongly Agree","7","6","8","6","8","7","7","6","8","8","8"
369,8,6,8,5,9,9,9,9,9,6,8,9,8,9,"English","No","Fully employed",NA,"Single, never married, not living with a life partner","Male","65 to 74","$20000 to $29999",1,"Yes","8","6","8","5","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","6","8","Strongly Agree"
370,9,8,6,5,9,8,9,9,9,9,9,9,9,8,"Spanish","Yes","Fully employed","High school diploma or certificate","Single, never married, not living with a life partner","Male",NA,"$30000 to $39999",1,"Yes","Strongly Agree","8","6","5","Strongly Agree","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
371,9,8,5,7,7,8,7,7,9,9,8,9,9,4,"English","Yes","Fully employed","No certificate, diploma or degree",NA,"Male","65 to 74","$30000 to $39999",1,"Yes","Strongly Agree","8","5","7","7","8","7","7","Strongly Agree","Strongly Agree","8","Strongly Agree"
372,9,9,9,7,9,6,7,9,9,9,9,9,8,9,"French","No","Employed part-time","College diploma","Married","Female","45 to 54","$60000 to $69999",0,"No","Strongly Agree","Strongly Agree","Strongly Agree","7","Strongly Agree","6","7","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
373,9,7,6,9,9,8,8,9,9,9,8,9,9,8,NA,"Yes","Fully employed","College diploma",NA,"Male","35 to 44","$40000 to $49999",1,"Yes","Strongly Agree","7","6","Strongly Agree","Strongly Agree","8","8","Strongly Agree","Strongly Agree","Strongly Agree","8","Strongly Agree"
374,9,6,6,8,9,9,8,9,8,9,9,9,9,8,NA,"No","Fully employed",NA,"Single, never married, not living with a life partner","Male","45 to 54",NA,0,"No","Strongly Agree","6","6","8","Strongly Agree","Strongly Agree","8","Strongly Agree","8","Strongly Agree","Strongly Agree","Strongly Agree"
375,9,7,9,7,8,6,8,7,7,6,7,7,6,6,"English","No","Fully employed","College diploma",NA,NA,"45 to 54","$40000 to $49999",0,"No","Strongly Agree","7","Strongly Agree","7","8","6","8","7","7","6","7","7"
376,8,7,5,4,5,6,7,6,8,8,7,7,6,7,"French","No","Fully employed","University certificate above bachelor's degree","Living common law","Male","45 to 54",NA,0,"No","8","7","5","4","5","6","7","6","8","8","7","7"
377,9,8,5,5,9,9,9,9,9,9,9,9,7,8,"English","No","Employed part-time","No certificate, diploma or degree","Living common law","Male","24 or younger","Less than $20,000",0,"No","Strongly Agree","8","5","5","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
378,9,7,9,5,8,6,6,7,8,9,9,9,9,5,"English",NA,NA,NA,"Married","Male","65 to 74",NA,0,"No","Strongly Agree","7","Strongly Agree","5","8","6","6","7","8","Strongly Agree","Strongly Agree","Strongly Agree"
379,8,6,6,5,9,7,9,9,9,9,9,9,7,7,"Italian","Yes","Fully employed","Earned doctorate","Married","Female","75 to 84","$60000 to $69999",1,"Yes","8","6","6","5","Strongly Agree","7","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
380,6,8,6,7,9,9,9,9,9,9,6,9,9,8,"French","No","Employed part-time","High school diploma or certificate","Living common law",NA,"35 to 44","$150,000 to $174,999",1,"Yes","6","8","6","7","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","6","Strongly Agree"
381,9,7,7,7,9,8,9,9,9,9,9,9,9,9,"English","No","Fully employed","No certificate, diploma or degree","Living common law","Female","65 to 74","Less than $20,000",1,"Yes","Strongly Agree","7","7","7","Strongly Agree","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
382,9,4,6,3,6,5,5,7,9,9,7,8,8,8,"English","Yes","Employed part-time","College diploma","Divorced, not living with a life partner","Male","75 to 84","$70000 to $79999",1,"Yes","Strongly Agree","4","6","3","6","5","5","7","Strongly Agree","Strongly Agree","7","8"
383,8,5,5,6,7,8,9,7,9,3,6,7,9,7,NA,"No",NA,"High school diploma or certificate","Married","Male","55 to 64","$30000 to $39999",0,"No","8","5","5","6","7","8","Strongly Agree","7","Strongly Agree","3","6","7"
384,9,6,5,4,9,9,6,7,8,9,8,8,9,5,NA,"No","Employed part-time","College diploma","Married","Female","45 to 54","$50000 to $59999",0,"No","Strongly Agree","6","5","4","Strongly Agree","Strongly Agree","6","7","8","Strongly Agree","8","8"
385,7,5,5,6,9,6,6,8,9,9,9,9,8,9,"English","No","Not employed","No certificate, diploma or degree","Married","Male","45 to 54","$70000 to $79999",0,"No","7","5","5","6","Strongly Agree","6","6","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
386,9,7,7,3,7,8,8,9,9,9,9,9,9,7,NA,"No","Employed part-time","trades certificate","Single, never married, not living with a life partner","Male","65 to 74","$80000 to $89999",1,"Yes","Strongly Agree","7","7","3","7","8","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
387,9,8,9,8,6,9,6,7,8,8,9,9,9,8,NA,"No","Not employed","High school diploma or certificate","Living common law",NA,NA,"$90000 to $99999",1,"Yes","Strongly Agree","8","Strongly Agree","8","6","Strongly Agree","6","7","8","8","Strongly Agree","Strongly Agree"
388,9,8,7,5,9,9,5,8,9,9,9,9,9,9,"English","No","Employed part-time","High school diploma or certificate","Living common law","Female","75 to 84","$20000 to $29999",1,"Yes","Strongly Agree","8","7","5","Strongly Agree","Strongly Agree","5","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
389,9,6,7,7,8,9,7,9,9,9,9,7,9,6,"French","No","Employed part-time","No certificate, diploma or degree","Married","Male","45 to 54","$40000 to $49999",1,"Yes","Strongly Agree","6","7","7","8","Strongly Agree","7","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","7"
390,8,7,9,6,5,9,5,7,9,9,9,8,9,6,"Spanish",NA,"Employed part-time","College diploma","Living common law",NA,"65 to 74","$70000 to $79999",0,"No","8","7","Strongly Agree","6","5","Strongly Agree","5","7","Strongly Agree","Strongly Agree","Strongly Agree","8"
391,9,9,9,9,9,9,8,9,8,9,7,8,7,9,"French","No","Employed part-time","No certificate, diploma or degree","Married","Male","45 to 54","$40000 to $49999",1,"Yes","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","8","Strongly Agree","8","Strongly Agree","7","8"
392,6,6,3,5,8,8,6,8,8,8,9,8,7,6,"Spanish","No","Fully employed","Bachelor's degree","Living common law","Male","55 to 64","$90000 to $99999",0,"No","6","6","3","5","8","8","6","8","8","8","Strongly Agree","8"
393,7,4,7,7,9,8,7,9,9,8,9,7,9,8,"English","No","Fully employed","High school diploma or certificate","Separated, not living with a life partner","Female","35 to 44","$50000 to $59999",0,"No","7","4","7","7","Strongly Agree","8","7","Strongly Agree","Strongly Agree","8","Strongly Agree","7"
394,9,9,7,8,9,9,9,9,7,9,9,8,7,9,"English","No",NA,"trades certificate","Single, never married, not living with a life partner","Female","45 to 54","Less than $20,000",1,"Yes","Strongly Agree","Strongly Agree","7","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","7","Strongly Agree","Strongly Agree","8"
395,7,8,4,6,9,9,8,8,9,9,9,9,9,8,"English","No","Not employed",NA,"Divorced, not living with a life partner","Female","35 to 44","$200,000 or more",0,"No","7","8","4","6","Strongly Agree","Strongly Agree","8","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
396,9,9,8,7,7,8,8,9,9,9,9,9,9,9,NA,NA,"Fully employed",NA,"Married","Male","65 to 74","$70000 to $79999",1,"Yes","Strongly Agree","Strongly Agree","8","7","7","8","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
397,9,9,7,8,7,9,6,6,9,8,9,8,9,9,NA,"No","Employed part-time","Bachelor's degree","Single, never married, not living with a life partner","Female","35 to 44","$40000 to $49999",0,"No","Strongly Agree","Strongly Agree","7","8","7","Strongly Agree","6","6","Strongly Agree","8","Strongly Agree","8"
398,8,8,8,5,5,5,5,4,9,8,9,8,9,7,"French","No","Not employed","Bachelor's degree","Single, never married, not living with a life partner","Male","65 to 74","$60000 to $69999",1,"Yes","8","8","8","5","5","5","5","4","Strongly Agree","8","Strongly Agree","8"
399,9,7,5,8,9,9,9,9,9,9,9,9,9,8,"English","No","Employed part-time","College diploma","Single, never married, not living with a life partner",NA,"75 to 84","$20000 to $29999",1,"Yes","Strongly Agree","7","5","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
400,9,7,8,9,9,7,7,9,8,8,8,9,9,9,NA,"No","Employed part-time","High school diploma or certificate","Living common law","Male","55 to 64","$70000 to $79999",1,"Yes","Strongly Agree","7","8","Strongly Agree","Strongly Agree","7","7","Strongly Agree","8","8","8","Strongly Agree"
401,9,6,7,7,9,6,8,8,9,7,8,8,7,9,"English","No","Not employed","trades certificate","Widowed","Female","35 to 44","$20000 to $29999",1,"Yes","Strongly Agree","6","7","7","Strongly Agree","6","8","8","Strongly Agree","7","8","8"
402,9,4,6,7,9,9,9,9,9,9,9,8,9,8,"English","No","Not employed","Bachelor's degree","Divorced, not living with a life partner","Female","65 to 74","$30000 to $39999",1,"Yes","Strongly Agree","4","6","7","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","8"
403,9,9,7,9,9,9,9,9,7,8,6,9,9,9,"French","Yes","Not employed","University certificate above bachelor's degree","Living common law","Male",NA,"$40000 to $49999",0,"No","Strongly Agree","Strongly Agree","7","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","7","8","6","Strongly Agree"
404,9,7,6,8,9,9,9,7,5,9,6,7,9,9,"English","No",NA,NA,"Married","Male","35 to 44",NA,1,"Yes","Strongly Agree","7","6","8","Strongly Agree","Strongly Agree","Strongly Agree","7","5","Strongly Agree","6","7"
405,9,9,7,9,8,9,9,8,8,9,9,9,9,7,"Spanish","No","Employed part-time","trades certificate","Married","Male","65 to 74","$50000 to $59999",1,"Yes","Strongly Agree","Strongly Agree","7","Strongly Agree","8","Strongly Agree","Strongly Agree","8","8","Strongly Agree","Strongly Agree","Strongly Agree"
406,8,9,8,9,9,9,8,9,9,9,9,9,9,9,"Spanish","No","Not employed","College diploma","Married","Female","24 or younger","$20000 to $29999",1,"Yes","8","Strongly Agree","8","Strongly Agree","Strongly Agree","Strongly Agree","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
407,9,8,9,7,4,6,9,9,9,9,9,8,6,8,"English",NA,"Employed part-time","No certificate, diploma or degree","Married","Male","65 to 74","$30000 to $39999",1,"Yes","Strongly Agree","8","Strongly Agree","7","4","6","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","8"
408,9,9,9,7,8,9,7,9,9,7,9,9,9,5,"English","No","Not employed","High school diploma or certificate","Living common law","Male","75 to 84","$70000 to $79999",0,"No","Strongly Agree","Strongly Agree","Strongly Agree","7","8","Strongly Agree","7","Strongly Agree","Strongly Agree","7","Strongly Agree","Strongly Agree"
409,9,8,9,5,9,8,8,6,7,6,6,7,5,6,"English","Yes","Not employed",NA,"Living common law","Female","75 to 84","$20000 to $29999",1,"Yes","Strongly Agree","8","Strongly Agree","5","Strongly Agree","8","8","6","7","6","6","7"
410,7,5,9,9,9,7,8,9,5,9,7,5,8,8,"English","No","Not employed","College diploma","Single, never married, not living with a life partner","Male",NA,"$50000 to $59999",0,"No","7","5","Strongly Agree","Strongly Agree","Strongly Agree","7","8","Strongly Agree","5","Strongly Agree","7","5"
411,8,7,9,9,8,9,9,9,9,9,9,7,9,9,"English","No","Employed part-time","College diploma",NA,"Male","75 to 84","$150,000 to $174,999",1,"Yes","8","7","Strongly Agree","Strongly Agree","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","7"
412,9,9,5,9,9,9,8,9,9,9,9,9,9,9,"English","Yes","Not employed","College diploma","Single, never married, not living with a life partner",NA,"35 to 44","$70000 to $79999",1,"Yes","Strongly Agree","Strongly Agree","5","Strongly Agree","Strongly Agree","Strongly Agree","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
413,9,9,6,6,9,9,9,6,5,9,7,9,8,9,"English","Yes","Employed part-time","Medical degree","Single, never married, not living with a life partner","Male","65 to 74","$50000 to $59999",1,"Yes","Strongly Agree","Strongly Agree","6","6","Strongly Agree","Strongly Agree","Strongly Agree","6","5","Strongly Agree","7","Strongly Agree"
414,8,7,7,7,9,8,9,8,9,8,8,5,8,6,"English","No","Employed part-time","Bachelor's degree",NA,"Female",NA,"$40000 to $49999",0,"No","8","7","7","7","Strongly Agree","8","Strongly Agree","8","Strongly Agree","8","8","5"
415,8,5,6,7,9,9,9,9,9,9,9,9,9,9,"Spanish","No","Employed part-time","Bachelor's degree","Married","Male","45 to 54","$80000 to $89999",0,"No","8","5","6","7","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
416,9,7,9,8,9,6,5,7,8,9,9,6,8,5,"French","No","Fully employed","trades certificate","Single, never married, not living with a life partner",NA,"45 to 54","$150,000 to $174,999",1,"Yes","Strongly Agree","7","Strongly Agree","8","Strongly Agree","6","5","7","8","Strongly Agree","Strongly Agree","6"
417,8,8,9,7,9,5,8,9,9,9,8,8,9,7,"Spanish","No","Fully employed","High school diploma or certificate","Divorced, not living with a life partner","Female","55 to 64","$175,000 to $199,999,",1,"Yes","8","8","Strongly Agree","7","Strongly Agree","5","8","Strongly Agree","Strongly Agree","Strongly Agree","8","8"
418,9,9,7,9,9,8,7,9,9,9,9,9,9,9,NA,"No","Fully employed",NA,"Married",NA,"25 to 34",NA,1,"Yes","Strongly Agree","Strongly Agree","7","Strongly Agree","Strongly Agree","8","7","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
419,9,9,8,6,9,9,8,8,9,9,9,9,9,9,"French","No","Not employed","trades certificate","Living common law","Male","45 to 54","$200,000 or more",1,"Yes","Strongly Agree","Strongly Agree","8","6","Strongly Agree","Strongly Agree","8","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
420,9,8,9,9,9,9,8,9,8,9,9,9,8,9,"English","No","Employed part-time","No certificate, diploma or degree","Separated, not living with a life partner","Female","65 to 74","$70000 to $79999",1,"Yes","Strongly Agree","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","8","Strongly Agree","8","Strongly Agree","Strongly Agree","Strongly Agree"
421,9,8,9,9,9,9,9,9,8,9,9,9,8,7,"French","No","Employed part-time","College diploma","Living common law","Female","65 to 74","$30000 to $39999",1,"Yes","Strongly Agree","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","8","Strongly Agree","Strongly Agree","Strongly Agree"
422,9,5,6,6,7,7,7,9,9,9,9,9,9,7,"English","No","Not employed","Bachelor's degree",NA,"Male","65 to 74","$40000 to $49999",0,"No","Strongly Agree","5","6","6","7","7","7","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
423,7,6,9,7,9,9,8,9,4,5,7,6,9,7,"English","No","Not employed","trades certificate","Married","Female","35 to 44","$90000 to $99999",1,"Yes","7","6","Strongly Agree","7","Strongly Agree","Strongly Agree","8","Strongly Agree","4","5","7","6"
424,9,9,9,9,7,8,8,5,9,9,8,9,7,9,NA,"No","Fully employed","No certificate, diploma or degree","Living common law","Female","45 to 54","$30000 to $39999",1,"Yes","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","7","8","8","5","Strongly Agree","Strongly Agree","8","Strongly Agree"
425,8,7,7,5,6,8,5,8,9,7,9,9,8,2,"English","No","Not employed","High school diploma or certificate","Married","Female","24 or younger",NA,0,"No","8","7","7","5","6","8","5","8","Strongly Agree","7","Strongly Agree","Strongly Agree"
426,9,9,8,8,6,5,6,7,9,9,9,6,8,9,"English",NA,"Employed part-time","University certificate above bachelor's degree","Married","Male","35 to 44",NA,1,"Yes","Strongly Agree","Strongly Agree","8","8","6","5","6","7","Strongly Agree","Strongly Agree","Strongly Agree","6"
427,9,8,9,9,9,8,7,9,9,8,9,9,8,9,"English","No","Not employed","Bachelor's degree","Single, never married, not living with a life partner","Male","45 to 54","$175,000 to $199,999,",0,"No","Strongly Agree","8","Strongly Agree","Strongly Agree","Strongly Agree","8","7","Strongly Agree","Strongly Agree","8","Strongly Agree","Strongly Agree"
428,9,9,4,7,9,9,7,8,8,9,9,9,9,6,"English","No","Fully employed","No certificate, diploma or degree","Married","Female","24 or younger","$20000 to $29999",0,"No","Strongly Agree","Strongly Agree","4","7","Strongly Agree","Strongly Agree","7","8","8","Strongly Agree","Strongly Agree","Strongly Agree"
429,9,8,9,5,9,9,9,7,9,9,9,9,9,9,"English","No","Not employed","University certificate below bachelor level","Married","Female","65 to 74","$30000 to $39999",1,"Yes","Strongly Agree","8","Strongly Agree","5","Strongly Agree","Strongly Agree","Strongly Agree","7","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
430,9,9,5,6,8,8,4,9,9,9,9,9,6,5,"French",NA,"Employed part-time",NA,"Living common law","Male","75 to 84","$60000 to $69999",0,"No","Strongly Agree","Strongly Agree","5","6","8","8","4","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
431,9,8,8,6,8,9,9,9,9,9,9,9,8,9,"English",NA,"Not employed","No certificate, diploma or degree","Widowed","Female","45 to 54","$175,000 to $199,999,",1,"Yes","Strongly Agree","8","8","6","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
432,9,8,5,8,9,9,8,8,9,9,9,9,9,9,"French","Yes","Employed part-time","High school diploma or certificate","Married","Male","65 to 74","$20000 to $29999",1,"Yes","Strongly Agree","8","5","8","Strongly Agree","Strongly Agree","8","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
433,8,8,9,8,7,9,8,8,9,9,9,9,9,8,"English","No","Employed part-time","trades certificate","Living common law","Male","45 to 54","$90000 to $99999",1,"Yes","8","8","Strongly Agree","8","7","Strongly Agree","8","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
434,9,9,7,7,9,9,8,9,9,8,9,8,6,8,"English",NA,"Employed part-time","High school diploma or certificate","Single, never married, not living with a life partner","Female","55 to 64","$100000 to $149999",0,"No","Strongly Agree","Strongly Agree","7","7","Strongly Agree","Strongly Agree","8","Strongly Agree","Strongly Agree","8","Strongly Agree","8"
435,9,8,4,6,6,8,9,5,9,9,8,9,9,6,"French","No","Employed part-time",NA,"Married","Male","65 to 74","$20000 to $29999",0,"No","Strongly Agree","8","4","6","6","8","Strongly Agree","5","Strongly Agree","Strongly Agree","8","Strongly Agree"
436,9,5,9,7,9,9,8,9,8,9,9,7,7,4,"English","No",NA,"College diploma","Married","Male",NA,"$70000 to $79999",1,"Yes","Strongly Agree","5","Strongly Agree","7","Strongly Agree","Strongly Agree","8","Strongly Agree","8","Strongly Agree","Strongly Agree","7"
437,9,9,9,7,8,9,9,8,9,8,9,9,9,8,"English","No","Employed part-time","University certificate above bachelor's degree",NA,"Female","65 to 74","$30000 to $39999",1,"Yes","Strongly Agree","Strongly Agree","Strongly Agree","7","8","Strongly Agree","Strongly Agree","8","Strongly Agree","8","Strongly Agree","Strongly Agree"
438,9,9,7,9,9,9,8,8,9,9,8,8,9,9,"English","No","Fully employed","Bachelor's degree","Single, never married, not living with a life partner","Female","35 to 44","$50000 to $59999",1,"Yes","Strongly Agree","Strongly Agree","7","Strongly Agree","Strongly Agree","Strongly Agree","8","8","Strongly Agree","Strongly Agree","8","8"
