"RID","ClustSeg","Easy_Reservation","Preferred_Seats","Flight_Options","Ticket_Prices","Seat_Comfort","Seat_Roominess","Overhead_Storage","Clean_Aircraft","Courtesy","Friendliness","Helpfulness","Service","Satisfaction","Recommend","Language","Smoker","Employment","Education","Marital","Sex","Age","Income","FlyAgain","FlyAgain2","Easy_Reservation.1","Preferred_Seats.1","Flight_Options.1","Ticket_Prices.1","Seat_Comfort.1","Seat_Roominess.1","Overhead_Storage.1","Clean_Aircraft.1","Courtesy.1","Friendliness.1","Helpfulness.1","Service.1"
484,"Seg6",8,9,9,8,9,7,9,8,9,8,9,9,7,6,"Spanish","No","Not employed","High school diploma or certificate","Single, never married, not living with a life partner",,"45 to 54","Less than $20,000","0","No","8","Strongly Agree","Strongly Agree","8","Strongly Agree","7","Strongly Agree","8","Strongly Agree","8","Strongly Agree","Strongly Agree"
485,"Seg6",9,8,8,9,8,9,9,7,8,9,9,7,9,7,"French","No","Fully employed","High school diploma or certificate","Separated, not living with a life partner","Female","24 or younger","$30000 to $39999","1","Yes","Strongly Agree","8","8","Strongly Agree","8","Strongly Agree","Strongly Agree","7","8","Strongly Agree","Strongly Agree","7"
486,"Seg6",9,9,9,8,9,8,8,9,9,9,9,9,9,8,"English","No","Fully employed","College diploma","Separated, not living with a life partner","Female",,,"1","Yes","Strongly Agree","Strongly Agree","Strongly Agree","8","Strongly Agree","8","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
487,"Seg3",8,6,6,6,9,9,8,9,9,8,9,9,9,6,"Spanish","No",,"Bachelor's degree",,"Male","45 to 54","$50000 to $59999","1","Yes","8","6","6","6","Strongly Agree","Strongly Agree","8","Strongly Agree","Strongly Agree","8","Strongly Agree","Strongly Agree"
488,"Seg6",9,8,9,9,9,6,7,6,9,9,9,9,9,7,"English","No","Fully employed","No certificate, diploma or degree","Married","Male","75 to 84","$80000 to $89999","1","Yes","Strongly Agree","8","Strongly Agree","Strongly Agree","Strongly Agree","6","7","6","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
489,"Seg1",7,9,9,8,6,8,5,8,8,9,9,9,9,5,"English","No","Fully employed","No certificate, diploma or degree","Married","Female","65 to 74","$20000 to $29999","1","Yes","7","Strongly Agree","Strongly Agree","8","6","8","5","8","8","Strongly Agree","Strongly Agree","Strongly Agree"
490,"Seg6",9,9,8,7,8,7,8,8,9,9,8,9,8,7,"English","No","Employed part-time","No certificate, diploma or degree","Married","Female","35 to 44","Less than $20,000","0","No","Strongly Agree","Strongly Agree","8","7","8","7","8","8","Strongly Agree","Strongly Agree","8","Strongly Agree"
491,"Seg3",9,6,6,8,9,9,7,9,9,9,9,9,9,8,"Spanish","Yes","Not employed",,"Single, never married, not living with a life partner","Female","55 to 64","$50000 to $59999","0","No","Strongly Agree","6","6","8","Strongly Agree","Strongly Agree","7","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
492,"Seg3",8,9,6,7,8,8,8,7,9,9,8,8,9,9,"English","No","Not employed","High school diploma or certificate","Single, never married, not living with a life partner","Female","24 or younger","$50000 to $59999","1","Yes","8","Strongly Agree","6","7","8","8","8","7","Strongly Agree","Strongly Agree","8","8"
493,"Seg7",7,4,8,8,9,9,7,8,9,9,9,9,9,6,"Italian","No","Fully employed","High school diploma or certificate","Single, never married, not living with a life partner","Male","85 to 94","$30000 to $39999","0","No","7","4","8","8","Strongly Agree","Strongly Agree","7","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
494,"Seg4",9,7,9,5,6,7,4,7,5,4,4,6,7,7,"Spanish","No","Employed part-time","College diploma","Married","Female","24 or younger","$20000 to $29999","0","No","Strongly Agree","7","Strongly Agree","5","6","7","4","7","5","4","4","6"
495,"Seg6",9,9,8,7,9,7,7,7,9,9,9,9,9,7,,"No",,"College diploma","Separated, not living with a life partner","Male","55 to 64","Less than $20,000","1","Yes","Strongly Agree","Strongly Agree","8","7","Strongly Agree","7","7","7","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
496,"Seg6",9,9,9,8,9,8,9,9,9,9,9,9,9,9,"English","No","Not employed","No certificate, diploma or degree",,"Male",,"$20000 to $29999","1","Yes","Strongly Agree","Strongly Agree","Strongly Agree","8","Strongly Agree","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
497,"Seg4",9,6,6,4,6,6,3,5,8,8,9,8,6,6,"Spanish","No","Not employed","College diploma","Living common law","Female","45 to 54","$70000 to $79999","0","No","Strongly Agree","6","6","4","6","6","3","5","8","8","Strongly Agree","8"
498,"Seg3",9,8,6,7,9,9,9,9,9,9,7,9,9,7,"English","No","Employed part-time","No certificate, diploma or degree","Living common law",,"75 to 84","$40000 to $49999","1","Yes","Strongly Agree","8","6","7","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","7","Strongly Agree"
499,"Seg3",9,9,6,7,9,9,9,8,9,8,9,8,9,8,"English","No","Employed part-time","trades certificate","Married","Male","24 or younger","$40000 to $49999","1","Yes","Strongly Agree","Strongly Agree","6","7","Strongly Agree","Strongly Agree","Strongly Agree","8","Strongly Agree","8","Strongly Agree","8"
500,"Seg6",9,9,9,8,7,9,9,9,8,9,9,8,9,8,"French","No","Fully employed","No certificate, diploma or degree","Single, never married, not living with a life partner","Female","75 to 84","$60000 to $69999","1","Yes","Strongly Agree","Strongly Agree","Strongly Agree","8","7","Strongly Agree","Strongly Agree","Strongly Agree","8","Strongly Agree","Strongly Agree","8"
501,"Seg3",9,7,7,5,8,9,9,8,9,9,8,8,7,9,"English","No","Not employed","No certificate, diploma or degree","Married","Female","35 to 44","$60000 to $69999","1","Yes","Strongly Agree","7","7","5","8","Strongly Agree","Strongly Agree","8","Strongly Agree","Strongly Agree","8","8"
502,"Seg1",9,8,6,8,6,2,7,6,9,9,7,9,5,7,"English","No","Not employed","No certificate, diploma or degree",,"Male","45 to 54","$30000 to $39999","0","No","Strongly Agree","8","6","8","6","2","7","6","Strongly Agree","Strongly Agree","7","Strongly Agree"
503,"Seg1",9,9,6,2,7,4,2,6,8,9,9,9,6,7,"Italian","No","Not employed","High school diploma or certificate","Married","Female","75 to 84","Less than $20,000","0","No","Strongly Agree","Strongly Agree","6","2","7","4","2","6","8","Strongly Agree","Strongly Agree","Strongly Agree"
504,"Seg4",8,3,7,3,8,6,7,9,7,5,3,6,5,5,"English","No","Not employed","College diploma","Divorced, not living with a life partner","Male",,"$20000 to $29999","0","No","8","3","7","3","8","6","7","Strongly Agree","7","5","3","6"
505,"Seg6",7,9,9,8,5,8,9,9,9,9,9,9,7,7,"Spanish","No","Employed part-time","College diploma","Divorced, not living with a life partner",,"45 to 54",,"0","No","7","Strongly Agree","Strongly Agree","8","5","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
506,"Seg3",8,7,6,6,9,9,9,9,9,9,9,9,9,9,"English","No","Employed part-time","trades certificate","Living common law","Female","24 or younger","$20000 to $29999","1","Yes","8","7","6","6","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
507,"Seg3",9,6,7,7,8,7,8,8,9,8,9,9,9,7,"English","Yes",,"College diploma","Married","Female","55 to 64","$70000 to $79999","0","No","Strongly Agree","6","7","7","8","7","8","8","Strongly Agree","8","Strongly Agree","Strongly Agree"
508,"Seg6",9,9,9,7,9,9,7,9,9,9,9,9,9,8,"English","No","Fully employed","No certificate, diploma or degree","Living common law","Female",,"$80000 to $89999","1","Yes","Strongly Agree","Strongly Agree","Strongly Agree","7","Strongly Agree","Strongly Agree","7","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
509,"Seg3",9,9,7,7,9,9,7,9,9,9,8,9,5,8,"English","No",,"Bachelor's degree",,"Female","24 or younger","$30000 to $39999","1","Yes","Strongly Agree","Strongly Agree","7","7","Strongly Agree","Strongly Agree","7","Strongly Agree","Strongly Agree","Strongly Agree","8","Strongly Agree"
510,"Seg3",9,8,7,7,9,9,8,9,9,9,7,8,7,7,"English","No","Fully employed","Bachelor's degree","Married",,"75 to 84","$70000 to $79999","0","No","Strongly Agree","8","7","7","Strongly Agree","Strongly Agree","8","Strongly Agree","Strongly Agree","Strongly Agree","7","8"
511,"Seg3",7,8,7,7,9,9,8,9,8,9,9,9,8,7,"English","No","Employed part-time","trades certificate","Married","Male","75 to 84","$40000 to $49999","1","Yes","7","8","7","7","Strongly Agree","Strongly Agree","8","Strongly Agree","8","Strongly Agree","Strongly Agree","Strongly Agree"
512,"Seg6",9,9,9,6,9,8,8,9,9,9,7,9,9,9,"English","No","Not employed",,"Married",,"75 to 84","$30000 to $39999","1","Yes","Strongly Agree","Strongly Agree","Strongly Agree","6","Strongly Agree","8","8","Strongly Agree","Strongly Agree","Strongly Agree","7","Strongly Agree"
513,"Seg3",9,7,7,6,8,9,9,9,9,9,9,9,9,7,,"No","Not employed","trades certificate","Separated, not living with a life partner","Male","25 to 34","$20000 to $29999","1","Yes","Strongly Agree","7","7","6","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
514,"Seg6",8,8,6,9,9,9,8,7,9,9,9,9,9,8,"Spanish","No","Fully employed","No certificate, diploma or degree","Living common law","Female","55 to 64","$20000 to $29999","0","No","8","8","6","Strongly Agree","Strongly Agree","Strongly Agree","8","7","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
515,"Seg3",9,8,5,7,7,7,9,7,9,9,9,9,9,8,"English","No","Not employed","No certificate, diploma or degree","Married","Male","85 to 94","$100000 to $149999","0","No","Strongly Agree","8","5","7","7","7","Strongly Agree","7","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
516,"Seg7",6,3,5,3,9,9,9,9,9,9,9,9,7,3,"English","No","Fully employed","No certificate, diploma or degree","Divorced, not living with a life partner","Male","45 to 54","Less than $20,000","0","No","6","3","5","3","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
517,"Seg6",9,9,8,7,9,9,9,8,9,9,9,9,9,8,"English","Yes","Fully employed","College diploma","Living common law","Female","75 to 84","$40000 to $49999","1","Yes","Strongly Agree","Strongly Agree","8","7","Strongly Agree","Strongly Agree","Strongly Agree","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
518,"Seg7",9,6,4,6,7,5,7,7,9,9,9,9,7,4,"English","No",,"High school diploma or certificate","Divorced, not living with a life partner","Female","45 to 54","Less than $20,000","0","No","Strongly Agree","6","4","6","7","5","7","7","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
519,"Seg4",7,4,5,5,8,7,5,8,9,8,6,7,6,5,"Spanish","Yes","Fully employed","Master's degree","Living common law",,,"$70000 to $79999","0","No","7","4","5","5","8","7","5","8","Strongly Agree","8","6","7"
520,"Seg7",7,5,6,7,9,8,6,9,9,8,9,9,6,6,"English","No","Not employed","High school diploma or certificate","Living common law","Female","65 to 74","$40000 to $49999","1","Yes","7","5","6","7","Strongly Agree","8","6","Strongly Agree","Strongly Agree","8","Strongly Agree","Strongly Agree"
521,"Seg7",9,3,4,6,9,7,8,9,9,9,9,9,9,7,"English",,"Employed part-time",,"Married","Female","65 to 74","$80000 to $89999","0","No","Strongly Agree","3","4","6","Strongly Agree","7","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
522,"Seg6",8,9,9,8,9,8,9,9,9,9,9,9,9,8,"English","Yes","Employed part-time","College diploma","Married","Male","95 or older","$90000 to $99999","1","Yes","8","Strongly Agree","Strongly Agree","8","Strongly Agree","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
523,"Seg3",8,5,9,4,9,9,9,9,9,9,9,9,9,6,"English","Yes","Fully employed","High school diploma or certificate","Living common law","Male","65 to 74","Less than $20,000","1","Yes","8","5","Strongly Agree","4","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
524,"Seg8",9,6,7,8,9,9,9,9,7,6,3,3,8,5,"English","No","Fully employed","No certificate, diploma or degree","Separated, not living with a life partner","Female",,"$70000 to $79999","1","Yes","Strongly Agree","6","7","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","7","6","3","3"
525,"Seg1",4,8,8,6,4,6,7,7,9,9,9,9,7,4,"English","No","Fully employed","No certificate, diploma or degree","Divorced, not living with a life partner",,"25 to 34","$40000 to $49999","0","No","4","8","8","6","4","6","7","7","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
526,"Seg1",9,4,6,8,5,6,6,8,7,8,7,8,9,7,"Spanish","No","Not employed","No certificate, diploma or degree","Married","Male","25 to 34","$50000 to $59999","0","No","Strongly Agree","4","6","8","5","6","6","8","7","8","7","8"
527,"Seg7",6,5,9,4,9,9,7,8,9,7,6,6,9,6,,"No","Employed part-time","Bachelor's degree","Separated, not living with a life partner","Male","24 or younger","$30000 to $39999","1","Yes","6","5","Strongly Agree","4","Strongly Agree","Strongly Agree","7","8","Strongly Agree","7","6","6"
528,"Seg3",8,7,6,7,9,9,7,9,7,8,6,8,9,7,"Spanish","Yes","Employed part-time","Master's degree","Widowed","Female","45 to 54","$80000 to $89999","0","No","8","7","6","7","Strongly Agree","Strongly Agree","7","Strongly Agree","7","8","6","8"
529,"Seg1",9,8,9,7,7,7,8,6,9,8,7,9,8,6,"Spanish","No","Employed part-time","No certificate, diploma or degree","Married","Male","65 to 74","$90000 to $99999","1","Yes","Strongly Agree","8","Strongly Agree","7","7","7","8","6","Strongly Agree","8","7","Strongly Agree"
530,"Seg4",8,5,7,5,6,6,5,5,7,9,8,7,8,4,"English","No","Employed part-time","No certificate, diploma or degree","Living common law","Female","25 to 34","$80000 to $89999","0","No","8","5","7","5","6","6","5","5","7","Strongly Agree","8","7"
531,"Seg1",9,9,9,7,5,7,6,5,8,9,8,9,8,8,"English","No","Employed part-time","College diploma","Living common law","Female","45 to 54","$70000 to $79999","1","Yes","Strongly Agree","Strongly Agree","Strongly Agree","7","5","7","6","5","8","Strongly Agree","8","Strongly Agree"
532,"Seg7",8,6,6,6,6,9,6,8,8,9,9,9,6,5,"Spanish","No","Fully employed","Bachelor's degree","Single, never married, not living with a life partner","Female","35 to 44","$60000 to $69999","0","No","8","6","6","6","6","Strongly Agree","6","8","8","Strongly Agree","Strongly Agree","Strongly Agree"
533,"Seg6",7,7,7,8,9,9,8,8,9,9,9,9,9,9,"English","No","Fully employed","No certificate, diploma or degree","Married","Female","24 or younger","$70000 to $79999","1","Yes","7","7","7","8","Strongly Agree","Strongly Agree","8","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
534,"Seg8",9,7,8,8,9,8,8,8,7,6,5,8,9,9,"English","No","Employed part-time","College diploma","Widowed","Male","75 to 84","$50000 to $59999","0","No","Strongly Agree","7","8","8","Strongly Agree","8","8","8","7","6","5","8"
535,"Seg8",7,5,6,7,5,8,8,9,7,5,5,6,7,8,"Spanish","No","Fully employed","College diploma",,"Female","55 to 64","$30000 to $39999","0","No","7","5","6","7","5","8","8","Strongly Agree","7","5","5","6"
536,"Seg1",9,7,7,8,9,5,4,5,9,7,9,6,8,9,"Spanish","No","Not employed","High school diploma or certificate",,,"24 or younger",,"1","Yes","Strongly Agree","7","7","8","Strongly Agree","5","4","5","Strongly Agree","7","Strongly Agree","6"
537,"Seg3",9,6,8,6,9,9,9,9,7,9,9,9,9,8,"French",,"Employed part-time","College diploma","Married","Male","35 to 44","$175,000 to $199,999,","1","Yes","Strongly Agree","6","8","6","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","7","Strongly Agree","Strongly Agree","Strongly Agree"
538,"Seg3",9,5,5,4,9,9,8,9,9,7,9,8,9,9,"English","No","Not employed","No certificate, diploma or degree","Married","Male","65 to 74","$20000 to $29999","1","Yes","Strongly Agree","5","5","4","Strongly Agree","Strongly Agree","8","Strongly Agree","Strongly Agree","7","Strongly Agree","8"
539,"Seg7",9,5,6,6,9,8,6,8,9,9,9,9,9,6,"English","Yes","Employed part-time","Medical degree","Divorced, not living with a life partner","Male",,"$80000 to $89999","1","Yes","Strongly Agree","5","6","6","Strongly Agree","8","6","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
540,"Seg3",9,9,5,7,9,9,9,9,9,9,9,9,8,7,"French","No","Fully employed","College diploma","Divorced, not living with a life partner",,"55 to 64","$175,000 to $199,999,","1","Yes","Strongly Agree","Strongly Agree","5","7","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
541,"Seg6",9,8,9,9,9,9,8,8,7,8,9,8,9,9,"Spanish","No",,"College diploma","Married","Female","65 to 74","$60000 to $69999","1","Yes","Strongly Agree","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","8","8","7","8","Strongly Agree","8"
542,"Seg6",6,8,8,9,9,8,9,8,8,9,9,9,8,4,"Spanish","No","Fully employed","No certificate, diploma or degree",,"Female","55 to 64","$20000 to $29999","0","No","6","8","8","Strongly Agree","Strongly Agree","8","Strongly Agree","8","8","Strongly Agree","Strongly Agree","Strongly Agree"
543,"Seg6",9,7,9,9,9,9,8,9,9,6,7,9,9,9,"Spanish","Yes","Not employed","College diploma",,"Female","65 to 74","$200,000 or more","1","Yes","Strongly Agree","7","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","8","Strongly Agree","Strongly Agree","6","7","Strongly Agree"
544,"Seg1",9,7,9,8,7,6,8,7,9,9,9,9,9,7,"Spanish","No","Fully employed","College diploma","Married","Male","24 or younger","$50000 to $59999","1","Yes","Strongly Agree","7","Strongly Agree","8","7","6","8","7","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
545,"Seg1",9,7,6,9,5,6,5,6,9,8,9,9,9,7,"English","No",,"High school diploma or certificate","Living common law","Male","24 or younger","$50000 to $59999","0","No","Strongly Agree","7","6","Strongly Agree","5","6","5","6","Strongly Agree","8","Strongly Agree","Strongly Agree"
546,"Seg6",9,9,9,7,9,6,9,9,8,7,9,9,6,6,"English","No","Fully employed","College diploma","Married","Female","45 to 54","$20000 to $29999","0","No","Strongly Agree","Strongly Agree","Strongly Agree","7","Strongly Agree","6","Strongly Agree","Strongly Agree","8","7","Strongly Agree","Strongly Agree"
547,"Seg4",9,7,7,8,5,6,4,3,9,7,5,6,4,9,"English","No","Employed part-time","High school diploma or certificate","Married","Female","35 to 44","$40000 to $49999","0","No","Strongly Agree","7","7","8","5","6","4","3","Strongly Agree","7","5","6"
548,"Seg6",9,9,9,9,9,9,7,9,9,6,8,9,8,9,,"No","Employed part-time","High school diploma or certificate","Married","Female","35 to 44","$50000 to $59999","1","Yes","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","7","Strongly Agree","Strongly Agree","6","8","Strongly Agree"
549,"Seg3",7,6,7,6,7,9,7,9,8,9,8,9,9,7,,"No","Not employed","High school diploma or certificate","Divorced, not living with a life partner","Male","65 to 74",,"0","No","7","6","7","6","7","Strongly Agree","7","Strongly Agree","8","Strongly Agree","8","Strongly Agree"
550,"Seg8",9,9,8,9,9,6,9,9,7,8,9,4,8,7,"English","No","Employed part-time",,"Married","Female","65 to 74","$20000 to $29999","1","Yes","Strongly Agree","Strongly Agree","8","Strongly Agree","Strongly Agree","6","Strongly Agree","Strongly Agree","7","8","Strongly Agree","4"
551,"Seg7",8,5,5,6,6,7,7,9,9,9,9,9,9,7,"English","No","Fully employed","High school diploma or certificate","Married","Male","35 to 44","$30000 to $39999","1","Yes","8","5","5","6","6","7","7","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
552,"Seg6",9,7,9,8,8,9,9,7,9,9,9,9,9,8,"English","Yes","Fully employed",,"Living common law","Female","24 or younger","$30000 to $39999","1","Yes","Strongly Agree","7","Strongly Agree","8","8","Strongly Agree","Strongly Agree","7","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
553,"Seg4",9,7,9,5,4,6,3,7,7,8,6,7,5,6,"English","Yes","Not employed","trades certificate","Divorced, not living with a life partner","Female","24 or younger","$100000 to $149999","1","Yes","Strongly Agree","7","Strongly Agree","5","4","6","3","7","7","8","6","7"
554,"Seg8",9,8,9,7,8,8,7,6,9,9,7,7,9,5,"French","No","Not employed","High school diploma or certificate","Divorced, not living with a life partner","Male","85 to 94","$80000 to $89999","0","No","Strongly Agree","8","Strongly Agree","7","8","8","7","6","Strongly Agree","Strongly Agree","7","7"
555,"Seg6",8,8,6,8,9,9,9,9,9,8,9,9,9,9,,"No","Fully employed","No certificate, diploma or degree","Married","Female","35 to 44","$80000 to $89999","1","Yes","8","8","6","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","8","Strongly Agree","Strongly Agree"
556,"Seg3",8,6,6,7,7,9,8,9,9,9,9,9,9,7,"English","No","Employed part-time","University certificate below bachelor level",,"Female","35 to 44","$100000 to $149999","0","No","8","6","6","7","7","Strongly Agree","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
557,"Seg1",9,9,9,9,6,9,5,6,9,9,8,9,7,9,"Spanish","No","Not employed",,"Single, never married, not living with a life partner","Female","24 or younger","$90000 to $99999","1","Yes","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","6","Strongly Agree","5","6","Strongly Agree","Strongly Agree","8","Strongly Agree"
558,"Seg7",7,5,5,6,9,5,8,9,6,9,9,9,9,7,"English","No","Not employed","College diploma","Single, never married, not living with a life partner","Male","24 or younger","$70000 to $79999","0","No","7","5","5","6","Strongly Agree","5","8","Strongly Agree","6","Strongly Agree","Strongly Agree","Strongly Agree"
559,"Seg6",9,9,9,9,8,8,8,9,9,9,9,9,9,9,"English",,"Not employed","High school diploma or certificate","Married",,"35 to 44","$20000 to $29999","1","Yes","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","8","8","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
560,"Seg6",8,8,8,8,9,9,9,9,8,9,9,9,9,8,"English",,"Employed part-time","College diploma","Married","Male","35 to 44","$60000 to $69999","1","Yes","8","8","8","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","8","Strongly Agree","Strongly Agree","Strongly Agree"
561,"Seg7",9,7,4,4,7,6,7,8,8,9,7,8,6,6,"English","No","Fully employed","High school diploma or certificate","Married","Female","25 to 34","$50000 to $59999","0","No","Strongly Agree","7","4","4","7","6","7","8","8","Strongly Agree","7","8"
562,"Seg3",6,7,6,5,9,9,6,9,6,9,8,9,7,9,"English","No","Not employed","College diploma",,"Female","24 or younger","$40000 to $49999","0","No","6","7","6","5","Strongly Agree","Strongly Agree","6","Strongly Agree","6","Strongly Agree","8","Strongly Agree"
563,"Seg7",6,7,6,3,8,5,8,6,9,7,9,7,9,4,"Spanish","No","Not employed","High school diploma or certificate","Married","Female","55 to 64","$90000 to $99999","0","No","6","7","6","3","8","5","8","6","Strongly Agree","7","Strongly Agree","7"
564,"Seg1",9,7,9,6,6,2,3,6,7,9,7,7,6,7,"English","No","Not employed","College diploma","Single, never married, not living with a life partner","Male","24 or younger","$20000 to $29999","0","No","Strongly Agree","7","Strongly Agree","6","6","2","3","6","7","Strongly Agree","7","7"
565,"Seg3",5,5,6,7,9,8,7,9,9,9,9,9,9,8,"Italian","No","Not employed","No certificate, diploma or degree","Married","Male","65 to 74","$50000 to $59999","0","No","5","5","6","7","Strongly Agree","8","7","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
566,"Seg1",9,9,8,6,7,7,7,8,7,9,9,9,8,4,,"No","Employed part-time","High school diploma or certificate","Married","Female","35 to 44","$60000 to $69999","0","No","Strongly Agree","Strongly Agree","8","6","7","7","7","8","7","Strongly Agree","Strongly Agree","Strongly Agree"
567,"Seg1",7,8,8,6,7,6,4,5,8,9,8,8,9,7,"English","No","Fully employed","No certificate, diploma or degree","Living common law","Female","24 or younger","$20000 to $29999","0","No","7","8","8","6","7","6","4","5","8","Strongly Agree","8","8"
568,"Seg1",7,9,7,8,4,6,6,6,7,8,9,9,4,7,"Spanish","No",,"Master's degree","Separated, not living with a life partner",,"65 to 74","$60000 to $69999","0","No","7","Strongly Agree","7","8","4","6","6","6","7","8","Strongly Agree","Strongly Agree"
569,"Seg3",9,6,6,6,6,6,7,9,8,9,9,9,9,8,"English","No","Not employed","College diploma","Living common law","Male","65 to 74","$70000 to $79999","0","No","Strongly Agree","6","6","6","6","6","7","Strongly Agree","8","Strongly Agree","Strongly Agree","Strongly Agree"
570,"Seg3",9,7,7,7,9,9,8,9,9,9,9,9,8,8,"English","No","Employed part-time","High school diploma or certificate","Living common law","Female",,"$50000 to $59999","1","Yes","Strongly Agree","7","7","7","Strongly Agree","Strongly Agree","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
571,"Seg8",9,7,8,7,8,9,7,6,9,7,7,7,7,7,"English","Yes","Not employed","High school diploma or certificate","Married","Male","65 to 74","$20000 to $29999","0","No","Strongly Agree","7","8","7","8","Strongly Agree","7","6","Strongly Agree","7","7","7"
572,"Seg3",8,6,4,7,9,9,8,9,9,9,7,9,9,8,"German","Yes","Fully employed","College diploma","Living common law","Female","24 or younger","$30000 to $39999","0","No","8","6","4","7","Strongly Agree","Strongly Agree","8","Strongly Agree","Strongly Agree","Strongly Agree","7","Strongly Agree"
573,"Seg3",9,9,7,6,8,8,8,9,7,9,9,9,7,8,"English","No","Fully employed","trades certificate","Married","Female","65 to 74","$60000 to $69999","1","Yes","Strongly Agree","Strongly Agree","7","6","8","8","8","Strongly Agree","7","Strongly Agree","Strongly Agree","Strongly Agree"
574,"Seg3",7,7,4,7,9,8,5,7,9,7,7,9,8,9,"French","No","Not employed","High school diploma or certificate","Married","Male","65 to 74","$30000 to $39999","1","Yes","7","7","4","7","Strongly Agree","8","5","7","Strongly Agree","7","7","Strongly Agree"
575,"Seg3",8,7,6,6,9,6,9,9,9,9,8,9,5,7,"French","No","Employed part-time","College diploma","Married","Female","24 or younger","$60000 to $69999","1","Yes","8","7","6","6","Strongly Agree","6","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","8","Strongly Agree"
576,"Seg4",6,9,7,6,7,5,6,6,9,7,6,6,4,8,"English","No","Not employed","Medical degree","Married","Female","65 to 74","$50000 to $59999","1","Yes","6","Strongly Agree","7","6","7","5","6","6","Strongly Agree","7","6","6"
577,"Seg6",9,8,9,9,8,7,5,9,9,9,9,9,9,8,"English","No","Not employed","Bachelor's degree","Single, never married, not living with a life partner","Male","45 to 54","$200,000 or more","1","Yes","Strongly Agree","8","Strongly Agree","Strongly Agree","8","7","5","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
578,"Seg8",9,7,5,9,9,7,6,7,9,9,8,6,9,7,"Spanish","No","Employed part-time","Bachelor's degree","Single, never married, not living with a life partner","Female","45 to 54","$40000 to $49999","1","Yes","Strongly Agree","7","5","Strongly Agree","Strongly Agree","7","6","7","Strongly Agree","Strongly Agree","8","6"
579,"Seg8",9,4,6,7,9,8,5,8,8,8,5,6,8,8,"French","No","Employed part-time","Master's degree","Married","Male","65 to 74","$40000 to $49999","0","No","Strongly Agree","4","6","7","Strongly Agree","8","5","8","8","8","5","6"
